input,output,se_order
"akses mudah . pelayanan oke , cuma prasarananya tolong perbaiki minimal ruang tamu ada .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> akses <extra_id_1> positive ; <extra_id_2> pelayanan <extra_id_3> positive ; <extra_id_4> prasarananya <extra_id_5> negative,as
"kurang lampu saja ini yang kurang terang .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lampu <extra_id_1> kurang terang <extra_id_2> negative,aos
"pelayanan nya benarbenar ramah , pokok nya tidak nyesal .| opini : <extra_id_0>",<extra_id_0> benarbenar ramah ; <extra_id_1> tidak nyesal,o
for my wife's birthday they gave her a little cake with a candle .| opini : <extra_id_0>,NULL,o
"baik , aman dan nyaman .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"tolong di perhatikan lagi kelengkapan kamarnya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kelengkapan kamarnya <extra_id_1> tolong di perhatikan lagi <extra_id_2> negative,aos
"resepsionis nya super ramah . tempatnya bersih , rapi , wangi juga . nanti next time mau pilih tempat ini lagi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> resepsionis nya <extra_id_1> positive ; <extra_id_2> tempatnya <extra_id_3> positive,as
"airy syariahnya bersih , harum , tidak ada bau rokok , cuma ac nya agak ribut .| aspek : <extra_id_0>",<extra_id_0> airy ; <extra_id_1> ac nya,a
tempat sangat bersih dan nyaman .| opini : <extra_id_0>,<extra_id_0> sangat bersih ; <extra_id_1> nyaman,o
"Untuk hari ke2 nya , saya booking pakai apps teman .| aspek : <extra_id_0>",NULL,a
memuaskan tetapi toilet kurang bersih . tidak bisa di flush closetnya . dan handuk hanya satu . dan hotel .| opini : <extra_id_0>,<extra_id_0> kurang bersih ; <extra_id_1> tidak bisa di flush ; <extra_id_2> hanya satu ; <extra_id_3> memuaskan,o
"air untuk mandi pagi tidak ada , dengan alasan habis dari pihak penginapan , jadwal kami jadi molor dikarenakan hal tersebut . konfirmasi pertama , kami diminta tunggu 15 menit , ternyata masih belum ada . konfirmasi kedua , kami diinfokan lagi proses pengecekan oleh pihak penginapan dan alhasil belum juga lancar air ke kamar kami .| opini : <extra_id_0>",<extra_id_0> tidak ada,o
"sangat baik . semua fasilitas yang dijanjikan ada .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"mantap seperti perumahan begitu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
lokasi dekat bandara . strategis banget .| aspek : <extra_id_0>,<extra_id_0> lokasi,a
"waktu menginap disana listrik hotel mati sampai subuh tidak menyala , tidak ada kejelasan dan kompesasi dari pihak hotel sampai saya dan beberapa orang terus nge push dan baru diberikan kompensasi menginap di htl lain pada jam 4 pagi . tolong diperbaiki sistem dan management hotel , sop dan customer care dari airy rooms . terutama dalam hal pelayannya . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sistem dan management hotel <extra_id_1> tolong diperbaiki <extra_id_2> negative,aos
3 malam 3x pindah . disini paling nyaman .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"tempatnya di gang kecil dekat asia afrika , lokasinya strategis sih , makanannya juga enak , overall bagus kokk .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lokasinya <extra_id_1> strategis <extra_id_2> positive ; <extra_id_3> makanannya <extra_id_4> enak <extra_id_5> positive ; <extra_id_6> overall <extra_id_7> bagus <extra_id_8> positive,aos
memang sarapan tidak ada . ini sepertinya bekas koskosx an dan sudah jadi penginapan murah saja .| aspek : <extra_id_0>,<extra_id_0> sarapan,a
"ukuran kamar kecil tetapi cukup lah , wifi kebetulan lagi rusak , sinyal sangat susah karena kamar dilantai bawah , kebersihan baik , ac dingin , tv ada dan berfungsi . selimut , handuk , snack , air mineral disediakan . pelayanan bapak kosnya cukup baik dan helpful .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> kecil <extra_id_2> negative ; <extra_id_3> kamar <extra_id_4> cukup <extra_id_5> neutral ; <extra_id_6> wifi <extra_id_7> rusak <extra_id_8> negative ; <extra_id_9> sinyal <extra_id_10> sangat susah <extra_id_11> negative ; <extra_id_12> kebersihan <extra_id_13> baik <extra_id_14> positive ; <extra_id_15> ac <extra_id_16> dingin <extra_id_17> positive ; <extra_id_18> tv <extra_id_19> ada <extra_id_20> positive ; <extra_id_21> tv <extra_id_22> berfungsi <extra_id_23> positive ; <extra_id_24> selimut <extra_id_25> disediakan <extra_id_26> positive ; <extra_id_27> handuk <extra_id_28> disediakan <extra_id_29> positive ; <extra_id_30> snack <extra_id_31> disediakan <extra_id_32> positive ; <extra_id_33> air mineral <extra_id_34> disediakan <extra_id_35> positive ; <extra_id_36> pelayanan bapak kosnya <extra_id_37> cukup baik <extra_id_38> positive ; <extra_id_39> pelayanan bapak kosnya <extra_id_40> helpful <extra_id_41> positive,aos
"kamarnya bersih , pelayanan nya ramah , makannya pun lumayan enak , next time kalau ke purwakarta lagi saya dan keluarga pilih menginap disini lagi .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> ramah ; <extra_id_2> lumayan enak,o
"tolong di tingkatkan kamar mandi nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar mandi nya <extra_id_1> tolong di tingkatkan,ao
"tempat bersih , nyaman , dan canggih .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> nyaman ; <extra_id_2> canggih,o
"bersih , nyaman dan airy terbaik yang pernah saya inapin .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> airy <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"kamar mandi yang kurang bersiih . stok air mnum yang free mestii dmnta tiap hari , tempat tidurnya banyak semutnya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar mandi <extra_id_1> kurang bersiih <extra_id_2> negative ; <extra_id_3> tempat tidurnya <extra_id_4> banyak semutnya <extra_id_5> negative,aos
"pintu kamar mandi tidak bisa ditutup karena rusak , kamar keadaan kotor seperti belum disapu , seprai juga tidak bersih . ac juga tidak dingin . resepsionis yang cewek kurang ramah .| aspek : <extra_id_0>",<extra_id_0> pintu kamar mandi ; <extra_id_1> kamar ; <extra_id_2> seprai ; <extra_id_3> ac ; <extra_id_4> resepsionis,a
"resepsionis yang kurang ramah , dan bantal yang ada tulisan airynya kotor banget .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> resepsionis <extra_id_1> kurang ramah ; <extra_id_2> bantal <extra_id_3> kotor banget,ao
"romm nya bagus tetapi saysng lokasi nya di dalam pemukiman yang padat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> romm nya <extra_id_1> positive,as
"di deskripsi ada kulkas , ternyata tidak ada kulkas . mau minta pindah kamar prosedur nya ruwet . harga mahal tidak sebanding sama yang di dapat . sebeell .| opini : <extra_id_0>",<extra_id_0> tidak ada,o
"menginap pada tanggal 31 desember , memesan beberapa kamar . sempat bermasalah dengan 1 kamar karena ada krusakan . tetapi di bantu pihak hotel nya , mbak rani , bapak dian dan bapak rudi dengan sangat baik . keluarga kami sangat puas . area luas , bersih . akan kembali lagi nanti . terima kasih hotel dan airy .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> area <extra_id_1> luas ; <extra_id_2> NULL <extra_id_3> sangat baik ; <extra_id_4> NULL <extra_id_5> sangat puas ; <extra_id_6> NULL <extra_id_7> bersih,ao
"jalan menuju tempat penginapan tidak baik . petugas tidak ramah . kamar tidak nyaman dan bersih dikarenakan bau asap rokok yang tidak dibersihkan ( gorden tidak diganti ) pada kamar no 4 . tidak mempunyai selimut yang layak . tidak ada meja , lemari sudah rusak dikamar no 2 . fasilitas airi tidak lengkap ( minum hanya 1 botol ) . wifi tidak bisa digunakan . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> petugas <extra_id_1> tidak ramah ; <extra_id_2> kamar <extra_id_3> tidak nyaman dan bersih ; <extra_id_4> kamar <extra_id_5> bau asap rokok ; <extra_id_6> gorden <extra_id_7> tidak diganti ; <extra_id_8> selimut <extra_id_9> tidak mempunyai ; <extra_id_10> meja <extra_id_11> tidak ada ; <extra_id_12> lemari <extra_id_13> rusak ; <extra_id_14> fasilitas airi <extra_id_15> tidak lengkap ; <extra_id_16> wifi <extra_id_17> tidak bisa digunakan,ao
kamarnya luas . kalau kebersihan nilainya 3dari 5 .| opini : <extra_id_0>,<extra_id_0> luas,o
"tidak seperti yang diharapkan . kamar jorok , seprai kotor dan bau , toilet rusak , tidak ada air panas dan remote tv tidak ada . pokoknya kecewa berat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative ; <extra_id_2> seprai <extra_id_3> negative ; <extra_id_4> toilet <extra_id_5> negative ; <extra_id_6> air panas <extra_id_7> negative ; <extra_id_8> remote tv <extra_id_9> negative ; <extra_id_10> NULL <extra_id_11> negative,as
airnya sempat mati . pelayanan kurang profesional .| aspek : <extra_id_0>,<extra_id_0> airnya ; <extra_id_1> pelayanan,a
"lampu saja yang suka nyala mati , selebihnya sangat bagus dan murah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lampu <extra_id_1> negative ; <extra_id_2> selebihnya <extra_id_3> positive,as
"kamar luas , tempat nya agak masuk ke dalam gang , sinyal wifi tidak stabil , staf ramah , parkiran luas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> wifi <extra_id_3> negative ; <extra_id_4> staf <extra_id_5> positive ; <extra_id_6> parkiran <extra_id_7> positive,as
"tempatnya nyaman , resepsionis ramah . tetapi pas dikamar mandi bathtupnya tidak bisa diisi karena penutupnya rusak .| aspek : <extra_id_0>",<extra_id_0> tempatnya ; <extra_id_1> resepsionis ; <extra_id_2> bathtupnya ; <extra_id_3> penutupnya,a
"saya menginap disini untuk ke 2kali . di situ , disebut kolam renang adl fasilitas yang diberikan penginapan , tetapi saat saya mau berenang . saya ditagih untuk membayarnya . berarti uang yang saya keluarkan harus 2 kali lipat . saya kecewa .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> kecewa <extra_id_2> negative,aos
"tempatnya , harga , dan pelayanan sesuai dengan harga .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> sesuai <extra_id_2> positive ; <extra_id_3> harga <extra_id_4> sesuai <extra_id_5> positive ; <extra_id_6> pelayanan <extra_id_7> sesuai <extra_id_8> positive,aos
"mau hunian dengan konsep rumahan iya di sini tempatnya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"terbaik ruangan , fasilitas dan servis nya buat tidak ingin check out .| opini : <extra_id_0>",<extra_id_0> terbaik,o
"parkiran kurang memadai , tidak ada breakfast , padahal di keterangan ada .| aspek : <extra_id_0>",<extra_id_0> parkiran ; <extra_id_1> breakfast,a
"reservasi dari aplikasi , sungguh menjebak . saya input tanggal yang benar , tetapi ketika searching masih menggunakan tanggal hari ini . saya telepon pihak hotel dan cs keduanya tidak mau tahu . padahal saya ingin menginap dihotel ini . pertama kali pakai aplikasi airy , langsung mengecewakan .| opini : <extra_id_0>",<extra_id_0> mengecewakan,o
wifi nya jelek .| opini : <extra_id_0>,<extra_id_0> jelek,o
"satpamnya ramah dan sigap , wifinya kencang , selain snack airy set ada tambahan coklat silverqueen . tetapi resepsionis tidak ramah , payah banget seperti keteteran begitu , kerjanya super manual , dan penampilannya seperti emak - emak habis selesaikan rumah seharian .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> satpamnya <extra_id_1> ramah ; <extra_id_2> satpamnya <extra_id_3> sigap ; <extra_id_4> wifinya <extra_id_5> kencang ; <extra_id_6> resepsionis <extra_id_7> tidak ramah,ao
seram kamarnya .| aspek : <extra_id_0>,<extra_id_0> kamarnya,a
"kamar hotel gelap terutama di dalam kamar mandi . dalam kamar ada semut .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar hotel <extra_id_1> gelap ; <extra_id_2> kamar <extra_id_3> ada semut,ao
"nyaman tetapi beberapa fasilitas perlu di update . terutama handuk mohon di ganti karena warnanya trlihat kotor dan ada lubang . perlu di tambahkan pengharum ruangan agar lebih memorable .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> fasilitas <extra_id_1> perlu di update <extra_id_2> negative ; <extra_id_3> handuk <extra_id_4> mohon di ganti <extra_id_5> negative ; <extra_id_6> handuk <extra_id_7> kotor <extra_id_8> negative ; <extra_id_9> NULL <extra_id_10> nyaman <extra_id_11> positive,aos
